service_id,date,exception_type
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260507,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260508,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260511,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260512,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260513,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260514,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260515,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260518,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260519,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260520,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260521,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260522,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260526,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260527,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260528,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260529,1
GoldLine-Weekday-50-RAIL-26-01-1111100-,20260427,1
GoldLine-Weekday-50-RAIL-26-01-1111100-,20260428,1
ROUTE33-Saturday-23-BUS-BRIDGE-0000011-,20260425,1
ROUTE33-Sunday-23-BUS-BRIDGE-0000011-,20260426,1
ROUTE33-Weekday-55-BUS-BRIDGE-1111100-,20260427,1
ROUTE33-Weekday-55-BUS-BRIDGE-1111100-,20260428,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260418,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260502,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260509,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260516,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260523,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260525,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260530,1
TRYON-Saturday-0-BUS-26-02-0000010-,20260425,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260419,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260503,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260510,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260517,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260524,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260531,1
TRYON-Sunday-0-BUS-26-02-0000001-,20260426,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260417,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260420,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260421,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260422,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260423,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260424,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260429,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260430,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260501,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260504,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260505,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260506,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260507,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260508,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260511,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260512,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260513,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260514,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260515,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260518,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260519,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260520,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260521,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260522,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260526,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260527,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260528,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260529,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260427,1
TRYON-Weekday-0-BUS-26-02-1111100-,20260428,1
