route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307192,"South to I-485/S. Blvd",1,928086,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307193,"South to I-485/S. Blvd",1,928087,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307194,"South to I-485/S. Blvd",1,928095,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307195,"South to I-485/S. Blvd",1,928088,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307196,"South to I-485/S. Blvd",1,928096,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307197,"South to I-485/S. Blvd",1,928094,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307198,"South to I-485/S. Blvd",1,928093,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307199,"South to I-485/S. Blvd",1,928085,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307200,"South to I-485/S. Blvd",1,928086,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307201,"South to I-485/S. Blvd",1,928087,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307202,"South to I-485/S. Blvd",1,928095,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307203,"South to I-485/S. Blvd",1,928088,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307204,"South to I-485/S. Blvd",1,928096,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307205,"South to I-485/S. Blvd",1,928094,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307206,"South to I-485/S. Blvd",1,928093,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307207,"South to I-485/S. Blvd",1,928085,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307208,"South to I-485/S. Blvd",1,928086,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307209,"South to I-485/S. Blvd",1,928087,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307210,"South to I-485/S. Blvd",1,928095,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307211,"South to I-485/S. Blvd",1,928088,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307212,"South to I-485/S. Blvd",1,928096,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307213,"South to I-485/S. Blvd",1,928094,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307214,"South to I-485/S. Blvd",1,928093,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307215,"South to I-485/S. Blvd",1,928085,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307216,"South to I-485/S. Blvd",1,928086,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307217,"South to I-485/S. Blvd",1,928087,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307218,"South to I-485/S. Blvd",1,928095,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307219,"South to I-485/S. Blvd",1,928088,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307220,"South to I-485/S. Blvd",1,928096,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307221,"South to I-485/S. Blvd",1,928094,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307222,"South to I-485/S. Blvd",1,928093,5010107
